city,location,text
chicago,Chicago,@HAIMtheband @brielarson @joeyz95 look at our women
philadelphia,"Philadelphia, PA",RT @NancyPelosi: We're going to keep up the fight to #ProtectOurCare &amp; #SaveMedicaid! https://t.co/TmgwKNWmOb
seattle,"Entre OKC y Seattle, Madrid","@MarkDeeksNBA October one, after FA?"
philadelphia,Philadelphia,@bre_88 Thuggish Dougish Bone
atlanta,"Atlanta, GA",Shopping for summer?  Visit my Avon eStore by clicking on link: khttp://buff.ly/2tewpt6 #fashion #homedecor &amp; more!… https://t.co/E4ojb6sJ3w
detroit,near Detroit,for #NationalHandshakeDay here's the time a protester faked out Ted Cruz for a handshake &amp; called him a fish monster https://t.co/IhsKjyzsTr
houston,"Houston, TX",RT @ogpdub: Gotta be more selfish
los angeles,"Los Angeles, CA",Coffee Cake And Chocolate Milk 🤷🏽‍♂️
houston,"Houston, TX","RT @90sDeLaSoul: drink water 
eat good 
have nasty sex
mind ya business"
dallas,Dallas,"@susiewise @laura_lcole @k12lab @GSESSPARQ Always love teaching with you, @susiewise &amp; @k12lab!"
seattle,"Seattle, WA",@Diana_Fuentes_ U can if you get la banda today ☺️
denver,"Denver, Colorado",Help us end the cycle of poverty through positive relationships. Our fiscal year ends tomorrow &amp; every $ counts-… https://t.co/UU4HgsP0rl
los angeles,"Los Angeles, CA",@richxml_ นี่ยังหล่อไม่พออีกหรอหะไอ้ดื้อ ได้ จะไปหาน้องมาร์คลีคนอื่นแล้ว
houston,"Houston, TX",Think Ima finally go see Stan in action this weekend. So much music.
chicago,"Chicago, IL","RT @ChiliPeppers: 🌎

https://t.co/Id4eXr8SXT https://t.co/kMaHjOyPsU"
los angeles,"Los Angeles, CA","RT @Kenzie24241: Went shopping today, took some nudes while changing, cumtribute me for them and I'll dm them to you #cumtribute…"
houston,"Houston, TX","RT @tessjajaja: cocoa butter kisses / chance the rapper
- all i listened to in 7th grade lmao https://t.co/xJAywP1RZ5"
houston,"Houston, TX",RT @litmemeposts: https://t.co/4HeV0XfBby
detroit,Metro Detroit,@SpartySubs @gothlaw @jblanx @its_me_margaret I can just imagine you rolling up to work wearing that one day.
los angeles,"Los Angeles, CA","RT @angelcabrera725: Ambition Hear this !!!!!
hear the rest on youtube https://t.co/0eZo9iBn80"
houston,"Galveston, TX - Houston, TX","want you w me until God calls, down for life."
philadelphia,"Philadelphia, PA",#PhillyTech #Philly #PhillyStartup #PhillySoftware  @phillybusiness Walmart Denies It Told Truckers Not to Work... https://t.co/ltXyGmTmvt
houston,"Houston, TX",RT @iamwilliewill: When you tryna get yo friend to watch yo favorite video but they not paying attention. https://t.co/oMZrBUsZ96
dallas,"Dallas, TX",@tatiyananikue!!!!!!!! https://t.co/vp3Kf58aHJ
new orleans,"New Orleans, LA",RT @Iad3uxieme: Imma just assume y'all never dated a nigga who cares about y'all cause this is the most basic shit ever. lmao https://t.co/…
philadelphia,"Philadelphia, PA",@SixersLegion @Jt856 Perfect idea to have embiid insurance but makes no sense to say the other injury prone center… https://t.co/eNmWXnyI7A
miami,"Miami, FL",un escritor es alguién que pinta con palabras https://t.co/bXKhLlsnZp
los angeles,"Los Angeles, CA",Jeep Grand Cherokee Summit 2017: Prueba a Bordo VIDEO https://t.co/yxMv2p8fmi
chicago,Chicago,https://t.co/YjrQhWGJm6
philadelphia,"Philadelphia, PA","Afro Samurai vs Samurai Jack... who should win, and why? GO!"
houston,houston,I LOVE THE SUN
houston,"Houston, TX",RT @CuteKidVines: when someone touches my food without asking https://t.co/B3yu2yDSPG
dallas,"Dallas, TX","Friendly Neighborhood Reminder:
No stream on Friday! I'll be at GuardianCon through Sunday. There may be an IRL… https://t.co/8jfQZJl1f7"
atlanta,"Atlanta, GA",@TM88 Bro what's yo line I wanna mix the album ...
dallas,East Texas✈️Dallas✈️Houston,"RT @Veil_Sincerity: I understand without no explanation, not cause I know you're not gonna give me one, but because I'm used to bullshit."
miami,"Miami, FL",RT @DeRpEsTMaNALiVe: Em.... Who love the pug too much? https://t.co/KuAXDjfV2Z
seattle,"Seattle, WA","RT @RoguePOTUSStaff: POTUS suddenly angry watching Ryan press conference. Apparently shouted \"---- off\" and threw book at a TV which may be…"
seattle,"Seattle, WA",RT @ROMOFACE: 😭 https://t.co/xSeLfnIvJJ
los angeles,"Los Angeles, CA",RT @sexuaIfeed: Kendall Jenner is fine as hell 😩 https://t.co/ET7oDhOxCc
los angeles,"Los Angeles, CA",RT @jeff_jssj: Yesterday I learned that my mom has no idea what our dog looks like https://t.co/N6xUWvseci
boston,"Boston, Ma","@Romudeth @oldmangamer480 @MikePDaTruth @SwedishGamerDad @tru8888 dude, crapgamer has only 32k subs.  He's not big.  BGST? 13k."
los angeles,"Los Angeles, CA",RT @sexuaIfeed: Kendall Jenner is fine as hell 😩 https://t.co/ET7oDhOxCc
miami,"Miami, FL ✈️ Morgantown, WV",RT @fabdp__: This how far i go when i tell my nigga im leaving him https://t.co/3xDQ1aRV6a
los angeles,"Los Angeles, CA",@shopheaaa em dmla
houston,"Houston, TX",RT @ROZtheCreator: @dangerookipawaa Me as soon as I hear the first track on CTRL. https://t.co/VgcHjme8YM
atlanta,Atlanta,Swear I like twitter way more than Facebook.. they so angry over there and they hold on to EVERYTHING
atlanta,Nawf Atlanta,RT @shaniiquashaii: Don't care about too much of anything these days 🤦🏽‍♀️
los angeles,"Los Angeles, CA",RT @shaniiquashaii: Don't care about too much of anything these days 🤦🏽‍♀️
boston,BOSTON STRONG,RT @AboutVirgos: #Virgos are very picky about everything.
miami,"Miami, FL",RT @rimylowkey: A love low key
chicago,"Chicago, IL",RT @thysz: One of the most powerful photos I've seen in a long time. The kind that jumps at you. Then you read the caption and…
dallas,"Dallas, TX",ICYMI: Resiliency orchestration is transforming #businesscontinuity mgmt. PonemonPrivacy https://t.co/xzgvnAOt2H https://t.co/2WVii1RKEN
los angeles,"Los Angeles, CA","RT @CuteSpide: https://t.co/UCbRnQBWKg streaming more isaac today, come stop on by~♥"
dallas,"Dallas, TX",RT @thatprettydyke: Someone who loves PND as much as I do &gt;&gt;&gt;
chicago,"Chicago, IL",@thehill People justifying 45*s cyber-bulling: There's NEVER A good reason!Disgusting!Embarrassing!WhereIsTheHonor&amp;Dignity?ImpulseControl!
atlanta,"Nawf Atlanta, GA",Que loucura meu
houston,"Houston, TX","RT @TeaPainUSA: If kids talked like Trump they'd be expelled.
If CEOs talked like Trump they'd be fired.

It's time America got a Trump-ect…"
houston,Houston,:-] :-. https://t.co/yrSlQPMWfM
los angeles,"Los Angeles, CA",@sardax @iWantUpdates @iWantClips That day it stormed out + hailed half size ping pong balls...camera got wet and i… https://t.co/bg9YxLEbPf
seattle,"Seattle, WA [#Glimmer]",@AngelAmeliaGA That's the only other option to do at the moment.
chicago,S.E. Michigan & Chicago,RT @BusLeadersforMI: .@AccelerateMICH returns for 8th round this fall in #Detroit: https://t.co/JT823jwV7n @InvestDet
houston,"501 Crawford St, Houston, TX","RT @DusseCognac: Know The Code. @S_C_'s  ‘4:44’ coming #DUSSEFriday, 6/30. #444 #TIDALXSprint #DUSSE https://t.co/qsgIeFCo4c"
seattle,Seattle,RT @KamalaHarris: This is outrageous. I stand with Mika Brzezinski. https://t.co/0HMEmZYI9h
denver,"Denver, CO",RT @shortdancevids: Omg she's so good! https://t.co/D6KzurU9al
philadelphia,"Philadelphia, PA",@PhillyHotspur @howardeskin Howard was too busy fighting the Soda Tax to see it coming.
miami,Miami Fl,RT @katherineshelby: @complex because i’m ~eXtRa~ https://t.co/8F2drEEQgo
detroit,Detroit Michigan,RT @IntThings: Never let a bad situation bring out the worst in you. Choose to stay positive and be strong..
houston,"Houston, TX","@realDonaldTrump Nice, a live tweet of how your healthcare will act."
houston,"Houston, TX",@loganreagen Omg that softball picture 😍😍😍😂
