text_len,count
1,75
2,123
3,184
4,212
5,239
6,279
7,299
8,319
9,333
10,378
11,442
12,519
13,555
14,571
15,670
16,738
17,762
18,766
19,840
20,850
21,845
22,886
23,2430
24,906
25,1042
26,3179
27,1150
28,1127
29,1126
30,1110
31,1097
32,1041
33,1209
34,1117
35,1125
36,1202
37,1263
38,1460
39,1440
40,1450
41,1295
42,1379
43,1368
44,1366
45,1221
46,1124
47,1313
48,1235
49,1258
50,1239
51,1162
52,1278
53,1350
54,1455
55,1295
56,1361
57,1230
58,1192
59,1440
60,1311
61,1260
62,1312
63,1295
64,1277
65,1277
66,1192
67,1154
68,1194
69,1363
70,1177
71,1210
72,1205
73,1215
74,1251
75,1025
76,1066
77,1182
78,1339
79,1091
80,1080
81,1184
82,983
83,1076
84,1124
85,1049
86,961
87,1043
88,1068
89,931
90,934
91,949
92,933
93,1145
94,1027
95,893
96,1040
97,873
98,892
99,889
100,1082
101,827
102,832
103,872
104,921
105,1020
106,861
107,890
108,1059
109,830
110,875
111,907
112,1030
113,954
114,938
115,981
116,898
117,1003
118,945
119,981
120,936
121,1005
122,967
123,1033
124,1099
125,980
126,1027
127,1143
128,1144
129,1453
130,1595
131,1819
132,1922
133,2029
134,2113
135,2075
136,2053
137,1941
138,1888
139,3328
140,16303
141,127
142,112
143,258
144,811
145,35
146,59
147,34
148,70
149,7
150,5
151,19
152,18
153,4
155,1
156,1
157,1
158,2
163,1
164,2
168,1
212,1
275,1
